,molecule,mse_liq_density,mapd_liq_density,mae_liq_density,mse_vap_density,mapd_vap_density,mae_vap_density,mse_Pvap,mapd_Pvap,mae_Pvap,mse_Hvap,mapd_Hvap,mae_Hvap,mse_Tc,mapd_Tc,mae_Tc,mse_rhoc,mapd_rhoc,mae_rhoc
0,R116,14931.711430531095,8.740752908806433,118.49207645533338,1336.7557465346813,42.60861669536006,26.866971757205338,10.147849406740608,37.971836753168105,2.485922433313481,351.42686163627985,20.70533697334179,18.363256555544595,631.3578963053556,8.574834036715421,25.126836177787197,48.903107535939576,1.140200170381823,6.993075684985797
1,R125,4964.389546824553,5.389004211972774,70.31363832466671,84.54953654532639,13.293452984631246,6.900531528935332,0.5648294083661471,9.909582406605635,0.6318198609856137,128.4223666648833,8.96574154713427,11.260787027563792,61.78921988605504,2.3160317997108897,7.860611928218759,223.90535048540696,2.6164481893078064,14.963467194651344
2,R134a,1207.7217518780567,2.6526075815531187,33.92898753066673,7.287642846116387,7.144673057479337,1.9698640825619984,0.3610366059001701,7.61309871729918,0.4362838680321336,18.367601776287497,2.1203322771521216,4.126881712891861,0.0016926635830678553,0.010994359568133683,0.04114199293991305,89.65479628632761,1.8497014392880051,9.468621667715297
3,R14,1022.001144150672,2.2690589676934914,31.04000397533329,74.09408819388264,7.943656003661849,5.294524440590002,0.36373341298711925,6.2403614692021225,0.4172616482654669,16.334496670080124,3.7725634315617804,3.735267118767816,19.36770368017444,1.9343656679411618,4.400875331132937,76.47057461789507,1.3976797367106237,8.744745543347449
4,R143,1805.9525834268038,4.061037498986903,42.251810172266644,151.36432758042736,25.658095484177856,11.512208283806668,6.23736661616424,20.89787858762194,2.4045917438461872,,,,18.661970264417437,1.0051070874357892,4.319950261799022,0.625138565591385,0.16858359205972037,0.7906570467600886
5,R143a,2348.234786186537,4.96260920936598,48.439390283200005,43.092334632288534,11.345925568400734,5.018198253346665,0.2345365325863175,7.174919753421492,0.4532024501999803,330.68472781687586,10.728653011019759,18.171698449117898,26.348569911192495,1.4840655163331202,5.133085807892996,139.89597581834957,2.744260539525005,11.827762925352772
6,R152a,2569.0000415552577,5.673541476317647,50.445837430400026,5.881230405742701,11.80616316636251,2.2102126585759985,0.3578644171964073,10.546484735276366,0.5655315431073333,732.1683512169914,9.870659219797476,26.868785349782524,13.171243430858057,0.939215024096069,3.629220774609621,201.33729150086558,3.8557981648667887,14.189337246709783
7,R161,197.8383532864204,1.58974810908606,11.78977571686668,83.46602067341642,68.50854433426828,6.814876901430667,11.268789684154816,63.66216793474201,2.5436550807874667,460.87389270052313,5.217724880917617,19.19305332751658,513.29833518343,6.037598469991525,22.656088258643194,32.276663418182,1.881210411868143,5.681255443841792
8,R170,150.4376020756243,2.238885066518539,8.845103859928603,242.02594540026172,25.5410024733146,9.816485001684285,21.29418962267377,21.2810030103031,3.5156521734870276,538.2394941519851,5.867050322321403,17.65408142444699,109.49944060632794,3.427266308792188,10.464198039330483,46.67070089447861,3.313413415219583,6.831595779499736
9,R23,929.4989087314314,2.03182532648754,23.571842274800026,548.5733996299563,35.52379906211199,16.159640406888,13.153688771706799,30.086401377424888,2.708845623788267,150.01628259176553,6.059230020435205,10.353707921407038,124.49102402598308,3.728007809130724,11.157554571947344,180.64117708274202,2.5527600916548256,13.440281882562658
10,R32,772.0056846878384,2.2881223423824526,23.339170423666605,399.2344421256127,59.19141586983451,15.999919351724165,22.54263060904634,45.0478905949604,4.026939939049167,1314.722061691576,11.599048271072917,34.91402062552118,468.96640275136144,6.163549772425295,21.655632125416275,256.90054685165603,3.7295854818229306,16.028117383262952
11,R41,4229.676243655979,7.476566915600569,54.61639725316664,1366.1521063293403,141.06211473241618,28.573017434962498,118.83997539962546,103.79479401723073,9.103863562508,7823.958985251252,21.710781353693065,83.8896302981876,1152.5092835553407,10.6998950842403,33.94862712327762,79.47283190330538,2.8165788154151827,8.914753608670594
12,R50,1723.66232710654,11.73527120389202,41.4918501354,9.106207529401084,16.971303186566118,2.7929400855799997,1.1909767169847074,12.54894989371933,1.0706004903180006,5286.6205642096475,18.198475899201856,72.63491423747959,11.734764885825498,1.797613562678058,3.4256043095818143,151.91866181355672,7.577479936967242,12.325528865470915
