Run,Iter,Min Obj,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_1_min,sigma_F_2_min,sigma_F_3_min,sigma_F_4_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_1_min,epsilon_F_2_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_1_cum,sigma_F_2_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_1_cum,epsilon_F_2_cum,epsilon_F_3_cum,epsilon_F_4_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
31,64,24534.86148530516,3.4703088564900595,3.576493814325773,3.341420612034476,3.1448178768914925,3.3975244291561952,2.5828678443638724,2.8415870747945844,2.8181824463934695,2.9737390156488708,2.9289092853120375,45.68685559369294,47.001952307218346,63.65418839597618,50.65800085140581,37.66523008667543,10.000000000000002,30.41261939330106,42.3426179552163,30.104824975308443,26.286044390295192,24534.85326789748,3.470316305164562,3.576490904545998,3.341421963590469,3.144828060044118,3.3975166311153777,2.582857659311637,2.8415856073480183,2.818198208019159,2.9737284294636135,2.928909028793905,45.68660976330188,47.0019626211854,63.65415955469624,50.65816246463444,37.66522601293558,10.000000000000002,30.41262722566257,42.34252972532743,30.104924876498842,26.28597667210464,1.3539286340832588,230.69408898243498,299.0231766371569,6.461584342163836,35.34841603668282,752.238798570564,620.8301994423998,19.81041569027627,5.562315388336,2431.126757855046,1842.393153227397,52.117193249175706,8.442114935646408,1.9730622477307607,15.683052451991566,40.4427408414176,1.7315044758673468,33.534237869622025,4.426457862056942,31.652489575095352,0.4768537029981001,90.21696379875164,56.624132514195374,6.469038023738882,0.12490826178405538,12.31504130217155,8.550463604475631,36.241810860328336,924.8087623119354,72.0,1512.0,969560.878491773,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
37,63,24525.30150948262,3.4604234022060947,3.7028317577957126,3.590583199258472,3.816874557667036,3.262887177077726,2.5752657389224365,3.613627191148911,2.750408371976143,2.905688624194363,2.9300638689704135,46.03618631354798,42.846806021017564,51.31771687887003,24.708971924578314,42.33692645433657,10.000000000000002,37.988331811540945,41.87264758197303,30.505938811317428,26.343079262720995,24525.30150881027,3.4604234120839394,3.7028317348857156,3.5905832213830213,3.8168745785132696,3.2628872274555807,2.5752657059751427,3.6136271776028135,2.750408328127843,2.9056886383095732,2.9300638644258523,46.036185516205556,42.846806789973826,51.31771663827442,24.708971970655732,42.336926084101364,10.000000000000002,37.98833142564923,41.87264765917786,30.505937749141328,26.34307926032027,1.2846285700763875,221.40733023189904,278.82330238701144,6.443464715367368,6.619115296557478,624.1028146240542,614.2742318050152,12.025449465015807,7.566205940570237,2489.703280816685,1880.4077510814989,49.22000728244143,38.10816592339078,11.006538744013895,2.6623458847199273,28.811761856917148,10.484068889220676,28.732959021297283,81.40983109619862,14.790608657880224,114.53735578208413,5.326055412605169,224.76336675373892,46.25528410937805,0.422436462079469,53.757007262170085,44.42989338689609,16.911247251733734,866.1403810977936,68.0,1428.0,960149.4631702226,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
24,76,27500.007336127932,3.4608230433082565,3.70471618111216,3.4754195893846127,3.171950376142742,3.329841248361693,2.554359818994052,3.2993284803053626,2.869325816417831,2.964805303573028,2.930347539570255,46.2397510412664,42.604164608077376,49.56382151461349,49.3795844197755,65.4745405042331,10.000000000000002,41.1315841853601,42.13106843252039,20.79674336001384,26.24467726004235,27500.001604394318,3.4608161477580563,3.7047182565213794,3.475418099535104,3.171943825095509,3.3298456303512305,2.5543585489763156,3.2993315833909693,2.8693156846520775,2.964809879597594,2.9303471769758542,46.24009126137505,42.604162286816695,49.563794796999616,49.37961906915634,65.47467229822142,10.000000000000002,41.13162503855152,42.131192231738886,20.796790082326247,26.2446755980061,1.1232003040901828,158.36972987455732,296.60223565685794,5.658594743275056,54.29381749045085,688.5551001658408,571.7844195243597,20.85536528346936,13.980854188452046,2450.334729077902,1851.7828314107767,40.22031814485214,32.90810612110808,1.127632499814207,1.8179891247024598,19.02044538063106,3.3903546154658146,89.9209859337244,53.18809122136096,10.001119975018852,32.39261434555179,129.04088796385247,119.08796834170923,7.632409697167563,0.8524710762003429,30.143706422936525,39.62263241802263,14.927537520539914,1084.7003817558289,86.0,1806.0,982303.0091170132,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
58,66,24050.404182044702,3.4641812571254063,3.2969791541459874,3.3004592884678017,3.448944336635393,3.4019967763062375,2.6402479463020394,2.97366119938234,2.7558528022383824,2.9575423157098384,2.9293129126434945,45.86134762152326,63.19178861708297,69.84567120758452,36.79203819705383,34.42367055808431,10.000000000000002,31.233266395321067,42.50880732188064,31.11300019689635,26.325633150215094,24050.40372300122,3.4641814800672583,3.296979323425177,3.3004596483517066,3.448944436572906,3.4019972610470672,2.640247931109927,2.9736610232893694,2.7558526989752696,2.957542613783137,2.929312850670038,45.8613238674425,63.1917852749843,69.84567000819929,36.792032101431175,34.423665985538605,10.000000000000002,31.23326215704614,42.50883376615211,31.11297381552409,26.325636667609306,1.3079543567278105,209.2911763083447,288.4244768140281,6.173184571483319,24.406835806527635,803.6643687901512,791.4808554727317,14.98243748024918,9.611229007719835,2036.4551842302265,1529.3015499830199,56.709905566040135,0.8636381308493432,43.195130545668704,67.5712692336147,91.4502504524168,12.818661783191462,14.43730684261512,31.303392594293964,46.704760286786815,5.039115690887293,32.70672198457247,49.002410837579575,8.523139711760972,0.3558372140578721,10.723681186309149,16.548880213091557,34.62091213733609,965.2211439609528,73.0,1533.0,864625.229290072,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
73,52,25766.833408140672,3.4373408716725113,3.6255560252690406,3.612300204609939,3.3485001274857455,3.326973775252265,2.55573641320965,2.834540090287651,2.8279629346005004,2.9496490399300463,2.9313551213270133,47.049700026730804,45.20523109485429,40.51339328736885,38.170978002353145,56.19204058213582,10.000000000000002,41.815267012050526,42.22580269795458,23.954755486424162,26.404903015711756,25765.647872063004,3.438931265592229,3.623944434616196,3.6155453273222378,3.3486814127758495,3.327993655383513,2.555826084402781,2.833767374042232,2.828203981255366,2.9487748687696103,2.931446608825347,47.00468509532961,45.238774885976234,40.54386143565004,38.17268893057531,56.16797872835462,10.000000000000002,41.79354469311926,42.287047783049935,23.88816483179141,26.395698429410366,1.2700886512394551,197.90429331398266,247.98379430142253,5.7826041600938805,22.495718134874842,459.6938715274806,502.93137598680187,8.711590113798932,19.15948716504804,2439.446202705539,1827.264345903774,36.0150925456977,8.60765601217658,0.28645755561736197,11.867380001514963,41.242827855879725,6.918190674949934,60.95039989117135,59.55870104612035,8.292916891194361,0.83656564382335,287.6610313345815,178.0448302197232,1.1140102598382224,3.1570137231069326,64.96276562353619,23.17470153384326,25.078362568357917,750.2036957740784,60.0,1260.0,928836.6502271309,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,136,23842.772555607382,3.4620658966781495,3.627584012488827,3.565346444998297,3.486317074718914,3.5477812092028636,2.5783423574560356,2.888756736512047,2.787725244827724,2.943917320166378,2.929789536687251,46.0433845722625,45.12664613520882,49.25855941814798,33.74603688826857,41.11780155560082,10.000000000000002,31.204079866820212,42.158952847970006,24.391134974385885,26.310416554959563,23842.594533154122,3.4617639140775296,3.62900432119508,3.5660232053648433,3.486915670079412,3.5461002637939885,2.5794347205626753,2.8857537892076444,2.7864083034890323,2.945238803289696,2.9297518268608664,46.06089172931151,45.10487509589174,49.19593151883802,33.798099371502886,41.147357823144546,10.000000000000002,31.30123754868433,42.12697783501041,24.433895782148973,26.309155789525427,1.3056948518556988,221.1118646682659,285.2258100832854,6.366904892427296,17.511015241409755,626.1400368362147,591.6566031207477,13.893323278138443,6.974025596236088,2384.25957608361,1803.5258294421124,46.706058303657564,17.115315030516072,1.9477594124972775,5.971725866472681,33.61711594670285,10.082447563719143,10.252079532290615,20.523574173292435,23.13985314051525,0.5826364992353384,104.43049139205141,55.4443224239477,8.861137894630417,0.4405462212775497,23.869074993317007,19.94742250932026,21.20700210010888,1825.0505149364471,145.0,3045.0,985117.7862373693,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,137,23775.89226309887,3.4662960919231116,3.596974487691236,3.588733495685225,3.8330568389597186,3.4176587121283966,2.5853067784823436,2.763232227039443,2.7556648290093695,2.9097579030902025,2.9294747337977203,45.88037578301118,46.25937263725233,53.31465658042145,23.673324255330876,37.31970556284922,10.000000000000002,23.501560924956927,42.05548874569288,29.322952083714497,26.29482049621142,23775.892262638754,3.4662961226201263,3.5969746266933047,3.58873369195497,3.83305698823669,3.417658469831038,2.5853066965347367,2.7632323554612577,2.75566495771956,2.9097578365217656,2.9294747319030723,45.880375749808714,46.25936830593289,53.31464861893913,23.673323058995162,37.31970489400915,10.000000000000002,23.50155539051892,42.055487849415066,29.322957192218094,26.29481973031513,1.3302041351884535,232.06048316423818,291.56457572125584,6.526328541314255,9.590593157663903,646.1195558931688,609.8322446944876,12.889829750335753,5.587571642588828,2340.2422065849833,1772.5919468824372,48.51790540816191,12.57679831508812,1.6927160111583701,9.862474774897942,38.500424089072304,7.374223381353604,20.158996484536438,53.66966135446563,14.034200636081922,2.7658516175517556,128.63138696631316,68.93523430126501,8.143065372218688,2.8637485170633536,51.06124356650245,26.96326304018113,29.226265265289975,1845.5299425125122,141.0,2961.0,985215.2476950728,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
52,129,24033.950374442655,3.4611970516766233,3.7622221778528546,3.625935565808138,3.4330707123006095,3.7256391580218824,2.5723631894471217,2.9563232738098204,2.8012210157646864,2.9149537445304725,2.929965077008609,46.16645772747008,40.79711458035592,45.08348541760447,34.55201007756761,37.40009582982873,10.000000000000002,32.94818128511738,42.3163352126116,22.27974279330101,26.286412188219828,24033.95035580275,3.4611972188635605,3.7622222908189515,3.62593616723402,3.4330701421256,3.7256384529945317,2.57236299440718,2.9563232973837135,2.8012210608520283,2.914953434361313,2.9299650588145876,46.166448495118836,40.797111376469125,45.083475956322445,34.552030567456036,37.40013047757559,10.000000000000002,32.94818167024524,42.31633679547153,22.27973179037104,26.286412532138772,1.3005690302919763,221.61578912344282,286.4888832759573,6.366156158857208,19.412483339215893,563.288379676385,516.8561239500258,12.064566426616864,8.538354856954546,2333.7062085867665,1766.1609412812272,42.47309755763347,80.66704694980402,1.958667447036371,4.690756612093504,6.0186218914024385,9.772261283404035,9.031583572125916,22.407712690246008,19.2598671256578,2.2174184264784906,33.015167041972134,39.00965721469171,8.931534508242986,0.23222821802968074,13.062099383774694,9.174534093268688,23.51032147134895,1693.3221521377563,133.0,2793.0,977855.034079269,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
69,105,24055.619997727208,3.4585245682595183,3.6664357665391876,3.667339355874742,3.3778682401284925,3.7686919918503046,2.5874562331399193,2.7658119390623632,2.8026064053149025,2.9052792267598897,2.929821320942633,46.18001795791895,43.64411884374636,43.54985492017657,36.68196473473872,34.92583694484179,10.000000000000002,31.472308543342415,42.442946228521905,22.648919497993607,26.316685024713614,24055.619762097434,3.45852411582005,3.6664361650995003,3.667340353463569,3.3778696643977835,3.7686908315151673,2.5874554963810232,2.7658111795710525,2.802606956807408,2.9052787634841675,2.9298213759896976,46.18003156344689,43.64411223967937,43.549828119240395,36.68197891573638,34.9258345308982,10.000000000000002,31.47228831548413,42.442911659350365,22.648929719669223,26.316688135587192,1.2848949178161657,200.80074575039873,282.6667252460665,6.01700731841203,24.638975450643684,612.2268666225382,572.1603142029371,12.749267975446937,5.90916536538469,2283.318242367282,1726.2135953428428,45.537546494697054,37.68290577210646,12.045401227212082,4.806922464367814,16.415027338891136,9.20877578548755,7.615973369503793,24.024491906465787,18.564256402465496,0.007717199735644174,42.03716333726792,47.441116868807846,5.053166188033384,1.0777271844331822,14.693771643762393,14.310130200245073,23.50906352730849,1474.0113680362701,110.0,2310.0,976531.6828342441,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
30,147,23650.471709320766,3.4723942611279996,3.3752991937835617,3.344841020827851,3.4724016660732993,3.6614657182020194,2.6173217970135547,2.9004220936200937,2.753741673215973,2.938893313009194,2.9288589712260826,45.5768076958875,57.36118145662402,65.71512458409073,34.70112565994886,33.638630647175496,10.000000000000002,28.119275992959153,42.245032885391325,25.577668003293468,26.28366754953433,23650.4712269767,3.4723937935909754,3.375301959515309,3.344837537064606,3.4724059658750877,3.661473727655116,2.6173223056627504,2.9004168041271723,2.753740476652566,2.938894408554877,2.9288589295486345,45.57679952901646,57.36100901894911,65.71517563233313,34.70091809917362,33.6384369215115,10.000000000000002,28.11922180508071,42.24507556676157,25.57764837985652,26.28367684385743,1.319339494505491,221.24594531111512,302.806120740396,6.4091370173970965,18.331199372520086,813.754151202007,743.5921120991184,17.217439908214523,5.974182173892595,2182.723945855277,1649.1496479763346,55.692099072639124,0.4458652110868996,42.121468694695935,66.79360324179947,72.12820538703683,11.279678359842293,5.899502638801042,12.664780048507193,27.987411584016535,1.0186044852611094,125.81067715218603,77.28831826328668,1.3811696498157953,2.8529848236145363,14.379684768421304,19.390143656847336,32.221560642448615,1989.69166970253,154.0,3234.0,952535.6824173554,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
